구분,2025.1Q,2024,2023
유동자산,"635,844","656,595","562,633"
유동자산,"329,940","480,969",
유동자산,"194,134","116,981",
유동자산,"111,770","58,645",
비유동자산,"307,227","288,841","214,735"
비유동자산,"98,873","94,878",
비유동자산,"158,570","136,271",
비유동자산,"49,784","48,650",
비유동자산,"8,776","9,042",
자산총계,"943,071","945,436","777,368"
자산총계,"528,724","550,089",
자산총계,"85,966","72,859",
부채총계,"614,690","622,948","492,958"
부채총계,"80,728","77,920",
부채총계,"11,602","11,602",
부채총계,"56,977","56,977",
부채총계,"-1,328","3,266",
부채총계,"-2,957","-2,777",
부채총계,"16,433","8,852",
부채총계,"-1,328","244,568",
자본총계,"328,381","322,488","284,411"
